player,gamesPlayed,minutesPlayed,threePointFGMade,threePointFGAttempted,threePointFGPercentage
Stephen Curry,801,27498,3024,7040,43.0
Ray Allen,1300,46350,2973,7429,40.0
Reggie Miller,1389,47620,2560,6486,39.5
James Harden,914,31561,2535,6994,36.2
Kyle Korver,1232,31183,2450,5715,42.9
Vince Carter,1541,46370,2290,6168,37.1
Jason Terry,1410,42034,2282,6010,38.0
Jamal Crawford,1327,38994,2221,6379,34.8
Paul Pierce,1343,45879,2143,5816,36.8
Damian Lillard,711,25834,2143,5752,37.3
LeBron James,1341,51191,2068,5984,34.6
Jason Kidd,1391,50116,1988,5701,34.9
Dirk Nowitzki,1522,51367,1982,5210,38.0
Joe Johnson,1277,44235,1978,5331,37.1
JJ Redick,940,23965,1950,4704,41.5
JR Smith,977,26274,1930,5178,37.3
Kyle Lowry,999,31814,1908,5215,36.6
Paul George,732,24588,1831,4805,38.1
Chauncey Billups,1043,33008,1830,4725,38.7
Kobe Bryant,1346,48643,1827,5546,32.9
Klay Thompson,619,20421,1808,4318,41.9
Rashard Lewis,1049,33543,1787,4625,38.6
Peja Stojakovic,804,26966,1760,4392,40.1
Wesley Matthews,866,26701,1756,4631,37.9
Kevin Durant,920,33775,1722,4491,38.3
Dale Ellis,1209,34780,1719,4266,40.3
Eric Gordon,730,23700,1713,4611,37.2
Steve Nash,1217,38073,1685,3939,42.8
Carmelo Anthony,1232,42828,1678,4723,35.5
Kemba Walker,728,24372,1648,4559,36.1
Jason Richardson,857,29243,1608,4344,37.0
Trevor Ariza,1103,32657,1595,4525,35.2
Mike Miller,1032,27817,1590,3910,40.7
Glen Rice,1000,34982,1559,3896,40.0
Eddie Jones,954,32782,1546,4147,37.3
Tim Hardaway,867,30628,1542,4345,35.5
Nick Van Exel,880,28980,1528,4278,35.7
Chris Paul,1132,39108,1520,4109,37.0
Mike Bibby,1001,33959,1517,3999,37.9
Danny Green,786,20077,1511,3776,40.0
Manu Ginobili,1057,26857,1495,4055,36.9
Michael Finley,1103,37995,1454,3880,37.5
Lou Williams,1095,26707,1438,4102,35.1
Bradley Beal,639,22203,1427,3829,37.3
Mike Conley,924,29637,1411,3699,38.1
Nicolas Batum,881,27206,1402,3886,36.1
Brent Barry,912,23640,1395,3442,40.5
Antoine Walker,893,31533,1386,4264,32.5
Kevin Love,774,24194,1371,3681,37.2
Danilo Gallinari,695,20862,1368,3573,38.3
